LR;SV_RAW;SV;DIST;SERIES
0,057;6117;5918;4;at noozle
0,057;5631;5432;4;at noozle
0,057;5056;4857;4;at noozle
0,057;5488;5289;4;at noozle
0,057;5356;5157;4;at noozle
0,057;4789;4590;4;at noozle
0,057;4545;4346;4;at noozle
0,057;4900;4701;4;at noozle
0,057;5107;4908;4;at noozle
0,057;4928;4729;4;at noozle
0,057;5229;5030;4;at noozle
0,057;5050;4851;4;at noozle
0,057;4994;4795;4;at noozle
0,057;5024;4825;4;at noozle
0,057;4959;4760;4;at noozle
0,057;5246;5047;4;at noozle
0,057;5207;5008;4;at noozle
0,057;5553;5354;4;at noozle
0,057;5219;5020;4;at noozle
0,057;5373;5174;4;at noozle
0,057;4846;4647;4;at noozle
0,057;4186;3987;4;at noozle
0,057;3367;3168;4;at noozle
0,057;3036;2837;4;at noozle
0,057;2910;2711;4;at noozle
0,057;2957;2758;4;at noozle
0,057;2995;2796;4;at noozle
0,057;2922;2723;4;at noozle
0,057;2957;2758;4;at noozle
0,057;2887;2688;4;at noozle
0,057;2987;2788;4;at noozle
0,057;3000;2801;4;at noozle
0,057;2936;2737;4;at noozle
0,057;3089;2890;4;at noozle
0,057;3266;3067;4;at noozle
0,057;2943;2744;4;at noozle
0,057;2775;2576;4;at noozle
0,057;2877;2678;4;at noozle
0,057;2869;2670;4;at noozle
0,0784;6536;6337;4;at noozle
0,0784;6950;6751;4;at noozle
0,0784;7484;7285;4;at noozle
0,0784;6796;6597;4;at noozle
0,0784;7126;6927;4;at noozle
0,0784;7451;7252;4;at noozle
0,0784;7275;7076;4;at noozle
0,0784;6545;6346;4;at noozle
0,0784;6124;5925;4;at noozle
0,0784;6389;6190;4;at noozle
0,0784;6046;5847;4;at noozle
0,0784;6042;5843;4;at noozle
0,0784;6156;5957;4;at noozle
0,0784;6456;6257;4;at noozle
0,0784;6401;6202;4;at noozle
0,0784;6618;6419;4;at noozle
0,0784;6218;6019;4;at noozle
0,0784;6127;5928;4;at noozle
0,0784;5191;4992;4;at noozle
0,0784;5504;5305;4;at noozle
0,0784;5448;5249;4;at noozle
0,0784;6121;5922;4;at noozle
0,0784;5461;5262;4;at noozle
0,0784;5287;5088;4;at noozle
0,0784;5471;5272;4;at noozle
0,0784;4502;4303;4;at noozle
0,0784;5460;5261;4;at noozle
0,0784;5264;5065;4;at noozle
0,0784;4286;4087;4;at noozle
0,0784;3759;3560;4;at noozle
0,0784;4509;4310;4;at noozle
0,0784;4048;3849;4;at noozle
0,0784;4410;4211;4;at noozle
0,0784;4652;4453;4;at noozle
0,0784;4305;4106;4;at noozle
0,0784;4264;4065;4;at noozle
0,0784;4620;4421;4;at noozle
0,0784;4807;4608;4;at noozle
0,0784;4678;4479;4;at noozle
0,0784;5667;5468;4;at noozle
0,0784;5083;4884;4;at noozle
0,0784;4616;4417;4;at noozle
0,0784;4496;4297;4;at noozle
0,0784;4806;4607;4;at noozle
0,0784;6340;6141;4;at noozle
0,0784;4662;4463;4;at noozle
0,0784;5778;5579;4;at noozle
0,0784;6671;6472;4;at noozle
0,0784;7711;7512;4;at noozle
0,0784;8260;8061;4;at noozle
0,0784;6473;6274;4;at noozle
0,0784;6955;6756;4;at noozle
0,0784;6764;6565;4;at noozle
0,0784;6531;6332;4;at noozle
0,0784;6471;6272;4;at noozle
0,0784;6285;6086;4;at noozle
0,0784;6336;6137;4;at noozle
0,0784;6861;6662;4;at noozle
0,0784;5959;5760;4;at noozle
0,0784;6080;5881;4;at noozle
0,0784;4977;4778;4;at noozle
0,0784;3226;3027;4;at noozle
0,0784;3311;3112;4;at noozle
0,0784;2579;2380;4;at noozle
0,0784;2552;2353;4;at noozle
0,0784;2513;2314;4;at noozle
0,0784;2477;2278;4;at noozle
0,0784;2497;2298;4;at noozle
0,0784;2562;2363;4;at noozle
0,0784;2565;2366;4;at noozle
